budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,1195585,[],en,The Hard Hit,"An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.",276.2211,"[{'id': 211845, 'logo_path': None, 'name': 'Dbuck Films', 'origin_country': ''}, {'id': 211846, 'logo_path': None, 'name': 'Irish Productions', 'origin_country': ''}, {'id': 211847, 'logo_path': None, 'name': 'Ohlsen Productions', 'origin_country': ''}, {'id': 211848, 'logo_path': None, 'name': 'Tc Photography', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-10-20,0,76,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Hard Hit,7.6,5
0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,1165067,[],en,Cosmic Chaos,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.",197.7721,"[{'id': 180745, 'logo_path': None, 'name': 'Hewes Pictures', 'origin_country': ''}]",[],2023-08-03,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,In space... there is only chaos.,Cosmic Chaos,5.813,40
0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,1190462,[],en,Breathing In,"1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.",104.8387,"[{'id': 57746, 'logo_path': None, 'name': 'Kaapland Films', 'origin_country': ''}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",2023-10-18,0,105,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Breathing In,5.0,12
0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",https://www.aimeemovie.com/,1151470,[],en,The Vigilante,"Returning from Afghanistan, Jessica, a Spec OPS Marine, finds herself in a war she never imagined and discovers middle America suburbia has changed when her thirteen year old sister, Aimee, is abducted by sex traffickers.",76.0803,"[{'id': 86941, 'logo_path': None, 'name': 'Shattered Images Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-09-08,0,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She will find you.,The Vigilante,5.952,21
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",https://www.amazon.com/gp/video/detail/B0B683GY1G,1010581,"[{'id': 2201, 'name': 'first time'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 7714, 'name': 'stepbrother'}, {'id': 11322, 'name': 'female protagonist'}, {'id': 171341, 'name': 'underage sex'}, {'id': 196691, 'name': 'stepsister'}, {'id': 199524, 'name': 'disturbed'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 282986, 'name': 'enemies to lovers'}, {'id': 283057, 'name': 'passion and romance'}, {'id': 310324, 'name': 'car'}, {'id': 325796, 'name': 'disapproving'}, {'id': 325798, 'name': 'disgusted'}, {'id': 337262, 'name': 'step-sibling romance'}]",es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",68.835,"[{'id': 32485, 'logo_path': '/fVXreZkiJTOq1cCi6htSQlPSy7R.png', 'name': 'Pokeepsie Films', 'origin_country': 'ES'}, {'id': 208240, 'logo_path': '/hYREaYiVyoGVP26CbDpAWD3wDRD.png', 'name': 'Amazon Studios', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2023-06-08,0,117,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Love can only survive in the shadow of secrets.,My Fault,7.823,3635
0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,1161680,"[{'id': 208692, 'name': 'mountain man'}, {'id': 238467, 'name': 'isolated place'}, {'id': 326678, 'name': 'austrian alps'}]",de,Ein ganzes Leben,"When Andreas arrives in the remote valley in the Austrian Alps, he is only about four years old - nobody knows for sure. He grows up to become a skilled farmhand and, as a young man, joins a work crew that builds one of the first mountain railroads, bringing light and noise to the valley along with electricity. He also finds the love of his life in Marie, but their happiness is short-lived. Only many years later, when Andreas embarks on his final journey, she is with him once again. And in amazement Andreas looks back at all the years that lie behind him.",38.5163,"[{'id': 28280, 'logo_path': '/4XkYAqKhx99QaZ9Er0YQuXpLIS6.png', 'name': 'Tobis Film', 'origin_country': 'DE'}, {'id': 103135, 'logo_path': '/ffj2JNRaYdNTv8iyWau4W4LGiQJ.png', 'name': 'Albolina Film', 'origin_country': 'IT'}, {'id': 1833, 'logo_path': '/6Ot5X5xRv0PvZ9cUUD5ZymSruLi.png', 'name': 'Epo-Film', 'origin_country': 'AT'}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2023-11-09,0,116,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,A Whole Life,7.0,25
340000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",https://fastxmovie.com,385687,"[{'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 10085, 'name': 'betrayal'}, {'id': 10039, 'name': 'racing'}, {'id': 18035, 'name': 'family'}, {'id': 175102, 'name': 'cliffhanger'}, {'id': 200234, 'name': 'shocking'}, {'id': 286354, 'name': 'cars'}, {'id': 311315, 'name': 'dramatic'}, {'id': 325839, 'name': 'ominous'}]",en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",35.8236,"[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 1225, 'logo_path': '/rIxhJMR7oK8b2fMakmTfRLY2TZv.png', 'name': 'One Race', 'origin_country': 'US'}, {'id': 34530, 'logo_path': None, 'name': 'Perfect Storm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-05-17,704709660,142,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The end of the road begins.,Fast X,7.047,5844
100000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",https://www.uphe.com/movies/the-super-mario-bros-movie,502356,"[{'id': 690, 'name': 'gorilla'}, {'id': 1878, 'name': 'plumber'}, {'id': 3289, 'name': 'villain'}, {'id': 11477, 'name': 'anthropomorphism'}, {'id': 9696, 'name': 'magic mushroom'}, {'id': 41645, 'name': 'based on video game'}, {'id': 172242, 'name': 'toad'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188294, 'name': 'damsel in distress'}, {'id': 207592, 'name': 'piano'}, {'id': 243959, 'name': 'brother brother relationship'}, {'id': 274453, 'name': 'illumination'}, {'id': 307254, 'name': 'evil king'}]",en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",34.0729,"[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination', 'origin_country': 'US'}, {'id': 12288, 'logo_path': '/e4dQAqZD374H5EuM0W1ljEBWTKy.png', 'name': 'Nintendo', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-04-05,1362000000,93,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Not all heroes wear capes. Some wear overalls.,The Super Mario Bros. Movie,7.624,9591
100000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.sonypictures.com/movies/spidermanacrossthespiderverse,569094,"[{'id': 242, 'name': 'new york city'}, {'id': 1701, 'name': 'hero'}, {'id': 2858, 'name': 'sacrifice'}, {'id': 9715, 'name': 'superhero'}, {'id': 3289, 'name': 'villain'}, {'id': 7939, 'name': 'portal'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9663, 'name': 'sequel'}, {'id': 9840, 'name': 'romance'}, {'id': 9181, 'name': 'alter ego'}, {'id': 9820, 'name': 'alternate dimension'}, {'id': 14636, 'name': 'india'}, {'id': 15025, 'name': 'parenting'}, {'id': 18035, 'name': 'family'}, {'id': 18095, 'name': 'alternate version'}, {'id': 33637, 'name': 'super power'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 155030, 'name': 'superhero team'}, {'id': 158124, 'name': 'spider bite'}, {'id': 163074, 'name': 'super villain'}, {'id': 175102, 'name': 'cliffhanger'}, {'id': 188237, 'name': 'teenage romance'}, {'id': 193545, 'name': 'young heroes'}, {'id': 213104, 'name': 'teen superhero'}, {'id': 213120, 'name': 'teen social issues'}, {'id': 221727, 'name': 'chelsea'}, {'id': 245157, 'name': 'alternate universe'}, {'id': 265979, 'name': 'superhero teamup'}, {'id': 272493, 'name': 'female superhero'}, {'id': 282984, 'name': 'slow burn romance'}, {'id': 299365, 'name': 'interdimensional travel'}, {'id': 319319, 'name': 'sentimental'}, {'id': 325791, 'name': 'defiant'}, {'id': 325813, 'name': 'exuberant'}]",en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",27.3003,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 2251, 'logo_path': '/5ilV5mH3gxTEU7p5wjxptHvXkyr.png', 'name': 'Sony Pictures Animation', 'origin_country': 'US'}, {'id': 77973, 'logo_path': '/9y5lW86HnxKUZOFencYk3TIIRCM.png', 'name': 'Lord Miller', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/nw4kyc29QRpNtFbdsBHkRSFavvt.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-05-31,690897910,140,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,It's how you wear the mask that matters.,Spider-Man: Across the Spider-Verse,8.344,7467
0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,1138749,"[{'id': 323809, 'name': 'depressing'}]",en,The Island,"When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",30.5521,"[{'id': 205274, 'logo_path': '/sMovSdUKQGJNuMw7GKdlKQZmD3U.png', 'name': 'MSR Media SKN', 'origin_country': 'KN'}]","[{'iso_3166_1': 'KN', 'name': 'St. Kitts and Nevis'}]",2023-07-21,39773,93,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Island,6.218,71
