budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",,1255559,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 8102, 'name': 'elementary school'}, {'id': 9673, 'name': 'love'}, {'id': 9675, 'name': 'prequel'}, {'id': 165100, 'name': 'young love'}, {'id': 208289, 'name': '1980s'}, {'id': 208349, 'name': 'kids'}]",id,Dilan 1983: Wo Ai Ni,"In this 1980s prequel, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a new transfer student.",3.445,"[{'id': 72761, 'logo_path': '/ikOKXFh7K4Hc9ywiqCI9humBHmg.png', 'name': 'Falcon Pictures', 'origin_country': 'ID'}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",2024-06-13,185660,116,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Indonesian', 'iso_639_1': 'id', 'name': 'Bahasa indonesia'}, {'english_name': 'Sundanese', 'iso_639_1': 'su', 'name': ''}]",Released,,Dilan 1983,6.4,4
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://www.netflix.com/title/81498404,1234811,"[{'id': 65, 'name': 'holiday'}, {'id': 207317, 'name': 'christmas'}, {'id': 309974, 'name': 'absurd'}]",en,Our Little Secret,"After discovering their significant others are siblings, two resentful exes must spend Christmas under one roof — while hiding their romantic history.",3.1654,"[{'id': 2365, 'logo_path': None, 'name': 'Capital Arts Entertainment', 'origin_country': 'US'}, {'id': 242999, 'logo_path': None, 'name': 'Good Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-11-27,0,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Have yourself a very awkward ex-mas.,Our Little Secret,6.305,495
16000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10402, 'name': 'Music'}]",https://www.focusfeatures.com/piece-by-piece,1236419,"[{'id': 4344, 'name': 'musical'}, {'id': 5565, 'name': 'biography'}, {'id': 10683, 'name': 'coming of age'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 210090, 'name': 'lego'}, {'id': 246377, 'name': 'music documentary'}, {'id': 296071, 'name': 'experimental documentary'}, {'id': 322980, 'name': 'animated documentary'}]",en,Piece by Piece,"A unique cinematic experience that invites audiences on a vibrant journey through the life of cultural icon Pharrell Williams. Told through the lens of LEGO® animation, turn up the volume on your imagination and witness the evolution of one of music's most innovative minds.",3.6589,"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 123495, 'logo_path': '/dR7yKIL5pijeOA5doGRyTFRbij1.png', 'name': 'i am OTHER', 'origin_country': 'US'}, {'id': 4081, 'logo_path': '/9Q0SyrhQD61wWbz5KJOkL6tu2mg.png', 'name': 'LEGO', 'origin_country': 'DK'}, {'id': 58637, 'logo_path': '/ow51X3ZjwBSE2UeYOF9ya8xfiI9.png', 'name': 'Tremolo Productions', 'origin_country': 'US'}, {'id': 72779, 'logo_path': '/zQaxjaFjgCMy4TsPioNqzvYov7t.png', 'name': 'Pure Imagination Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-10-10,10591426,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,Turn up the volume on your imagination.,Piece by Piece,7.5,96
7800000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",,1187619,"[{'id': 4252, 'name': 'black magic'}, {'id': 9714, 'name': 'remake'}, {'id': 309974, 'name': 'absurd'}, {'id': 315446, 'name': 'bollywood'}]",hi,शैतान,"Kabir and his family's fun weekend retreat takes terrifying turn when an intruder takes over the control of the  body of his teenage daughter, putting her at the mercy of his increasingly sinister orders.",3.2468,"[{'id': 128365, 'logo_path': '/9UnLNX7mfB1FzieJcjA9xyni8wY.png', 'name': 'Ajay Devgn FFilms', 'origin_country': 'IN'}, {'id': 44223, 'logo_path': '/dXTCqVltThpRPYeSeDUIFssM5Wu.png', 'name': 'Panorama Studios', 'origin_country': 'IN'}, {'id': 115477, 'logo_path': '/6CkBjiSlfAJFaMjwB44ILbOhFuV.png', 'name': 'Jio Studios', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2024-03-08,9600000,132,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Hell comes home,Shaitaan,6.2,57
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,1387957,[],es,El silencio de Marcos Tremmer,"Marcos Tremmer is a successful publicist who lives in Madrid, madly in love with his wife, Lucía. One day, Marcos discovers that a deadly disease will end his life in a few months.",3.4022,"[{'id': 244788, 'logo_path': None, 'name': 'La Higuera Films', 'origin_country': 'ES'}, {'id': 244789, 'logo_path': None, 'name': 'Gonitel', 'origin_country': ''}, {'id': 168665, 'logo_path': None, 'name': 'Inversiones Cinematográficas', 'origin_country': ''}]","[{'iso_3166_1': 'CL', 'name': 'Chile'}, {'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'DO', 'name': 'Dominican Republic'}, {'iso_3166_1': 'UY', 'name': 'Uruguay'}]",2024-11-29,0,112,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Silence of Marcos Tremmer,7.1,8
0,"[{'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,1207123,"[{'id': 278823, 'name': '3d animation'}, {'id': 297031, 'name': 'chinese mythology'}, {'id': 315535, 'name': 'donghua'}]",zh,白蛇3：浮生,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",4.114,"[{'id': 67089, 'logo_path': '/1wnxolUB5NHZARmeeZjVXKpGKaI.png', 'name': 'Light Chaser Animation Studios', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2024-07-30,59307515,133,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,"Life is ever-changing, but love remains unchanged.",White Snake: Afloat,7.824,17
0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,1209770,"[{'id': 9833, 'name': 'lesbian relationship'}, {'id': 158718, 'name': 'lgbt'}, {'id': 264386, 'name': 'lesbian'}, {'id': 321739, 'name': 'sexy'}]",tl,Bedspacer,Janice's steamy obsession to imitate Lexi propels them to campus stardom. But dark secrets blur the lines between authenticity and seductive deception.,3.8217,"[{'id': 149142, 'logo_path': '/25oYoXHsfWYlddAzJSBReajN3BM.png', 'name': 'Vivamax', 'origin_country': 'PH'}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",2024-01-05,0,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Released,,Bedspacer,4.1,10
900000,"[{'id': 27, 'name': 'Horror'}]",,1255616,[],es,La Hierba del Diablo,,3.4567,"[{'id': 5942, 'logo_path': '/qx0un6M3qWa9gioQX46rlLqSF97.png', 'name': 'TAKE ONE PRODUCTIONS', 'origin_country': 'CO'}]","[{'iso_3166_1': 'CO', 'name': 'Colombia'}]",2024-03-14,0,90,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,La Hierba del Diablo,4.5,4
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,1417848,"[{'id': 5306, 'name': 'boss'}, {'id': 158713, 'name': 'bdsm'}, {'id': 167529, 'name': 'ceo'}, {'id': 299842, 'name': 'contract relationship'}, {'id': 344730, 'name': 'ceo romance'}]",en,Spark me tenderly,"Floris Blossom desperately needs money for her mother's vital surgery. Out of options, she goes for an interview with Mr. Brighton, a ruthless billionaire and notorious playboy. In his elegant office, Floris is ready to work hard in exchange for financial help, but Mr. Brighton proposes an irresistible deal.",4.0074,"[{'id': 250130, 'logo_path': None, 'name': 'MyDrama', 'origin_country': ''}]",[],2024-09-12,0,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Spark me tenderly,5.6,9
0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",https://vvsfilms.com/movie/the-king-tide/,1159477,[],en,The King Tide,"After the mayor of an idyllic island village discovers a child with mysterious powers awash on their shores, the once peaceful community devolves into civil war, torn over the belief that the child is the next saviour.",3.2973,"[{'id': 979, 'logo_path': '/9lmFTLAikX5hEhlJnY7t6oZXFmW.png', 'name': 'Woods Entertainment', 'origin_country': 'CA'}, {'id': 135420, 'logo_path': None, 'name': 'Sara Fost Pictures', 'origin_country': 'CA'}, {'id': 90423, 'logo_path': '/8KJcTfZZx3IV4dLYLIO7ogkD615.png', 'name': 'Tip-Top Productions', 'origin_country': 'US'}, {'id': 134009, 'logo_path': None, 'name': 'Line 200', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2024-04-26,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Many thanks to Isla.,The King Tide,6.838,77
