budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
13000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://theconjuring.warnerbros.com,138843,"[{'id': 380, 'name': 'sibling relationship'}, {'id': 1228, 'name': '1970s'}, {'id': 2602, 'name': 'cellar'}, {'id': 2626, 'name': 'exorcism'}, {'id': 3358, 'name': 'haunted house'}, {'id': 9712, 'name': 'possession'}, {'id': 3099, 'name': 'satanism'}, {'id': 5713, 'name': 'rhode island'}, {'id': 9672, 'name': 'based on true story'}, {'id': 15043, 'name': 'paranormal investigation'}, {'id': 41380, 'name': 'crucifix'}, {'id': 162846, 'name': 'ghost'}, {'id': 199524, 'name': 'disturbed'}, {'id': 241827, 'name': 'demonic'}, {'id': 280957, 'name': 'demonology'}, {'id': 280958, 'name': 'psychic vision'}, {'id': 311315, 'name': 'dramatic'}, {'id': 323566, 'name': 'the conjuring universe'}, {'id': 325818, 'name': 'frightened'}]",en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",24.8022,"[{'id': 31375, 'logo_path': None, 'name': 'Evergreen Media Group', 'origin_country': ''}, {'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11565, 'logo_path': '/S74cHHbIrdmb5M51Pft72Uo9Gz.png', 'name': 'The Safran Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-18,320415166,112,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Based on the true case files of the Warrens.,The Conjuring,7.539,11767
0,"[{'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}]",,267544,"[{'id': 2199, 'name': 'opera'}]",it,Così fan tutte,"Who loves whom in Così fan tutte, Mozart’s and Da Ponte’s cruelly comic reflection on desire, fidelity and betrayal? Or have the confusions to which the main characters subject one another ensured that in spite of the heartfelt love duets and superficially fleetfooted comedy nothing will work any longer and that a sense of emotional erosion has replaced true feelings? Così fan tutte is a timeless work full of questions that affect us all. The Academy Award-winning director Michael Haneke once said that he was merely being precise and did not want to distort reality. In only his second opera production after Don Giovanni in 2006, he presents what ARTE described as a “disillusioned vision of love in an ice-cold, realistic interpretation”.",20.9591,"[{'id': 71999, 'logo_path': None, 'name': 'Teatro Real de Madrid', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2013-06-21,0,201,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Così fan tutte,6.8,10
100000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://www.thewolfofwallstreet.com/,106646,"[{'id': 417, 'name': 'corruption'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2095, 'name': 'anti hero'}, {'id': 3202, 'name': 'con man'}, {'id': 4373, 'name': 'fraud'}, {'id': 5636, 'name': 'wall street'}, {'id': 9672, 'name': 'based on true story'}, {'id': 6974, 'name': 'rise and fall'}, {'id': 10453, 'name': 'con artist'}, {'id': 10594, 'name': 'money'}, {'id': 10631, 'name': 'stockbroker'}, {'id': 10910, 'name': 'wealthy'}, {'id': 14964, 'name': 'drugs'}, {'id': 33424, 'name': 'cynical'}, {'id': 156260, 'name': 'stripping'}, {'id': 156277, 'name': 'hedonism'}, {'id': 163048, 'name': 'decadence'}, {'id': 173971, 'name': 'taunting'}, {'id': 199518, 'name': 'corrupt'}, {'id': 200234, 'name': 'shocking'}, {'id': 208289, 'name': '1980s'}, {'id': 228538, 'name': 'sharemarket fraud'}, {'id': 230707, 'name': 'desire for fame'}, {'id': 234814, 'name': 'financial market'}, {'id': 235530, 'name': 'fame-seeking'}, {'id': 247861, 'name': 'black monday'}, {'id': 266753, 'name': 'cautionary'}, {'id': 320420, 'name': 'hilarious'}, {'id': 325773, 'name': 'audacious'}, {'id': 325780, 'name': 'callous'}, {'id': 325800, 'name': 'disrespectful'}, {'id': 325845, 'name': 'sarcastic'}, {'id': 328926, 'name': 'based on real person'}]",en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",21.9176,"[{'id': 19177, 'logo_path': None, 'name': 'Red Granite Pictures', 'origin_country': 'US'}, {'id': 562, 'logo_path': '/azANEzu3H3Kztzt63sdjvlzxhuB.png', 'name': 'Appian Way', 'origin_country': 'US'}, {'id': 23243, 'logo_path': '/cBPyrhXhGKzxUdL4Fkg801HZ4W.png', 'name': 'Sikelia Productions', 'origin_country': 'US'}, {'id': 14654, 'logo_path': None, 'name': 'EMJAG Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-12-25,392000000,180,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Earn. Spend. Party.,The Wolf of Wall Street,8.03,24479
150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://movies.disney.com/frozen,109445,"[{'id': 7376, 'name': 'princess'}, {'id': 2343, 'name': 'magic'}, {'id': 2281, 'name': 'mistake in person'}, {'id': 2011, 'name': 'queen'}, {'id': 6513, 'name': 'cartoon'}, {'id': 3289, 'name': 'villain'}, {'id': 4344, 'name': 'musical'}, {'id': 10085, 'name': 'betrayal'}, {'id': 10115, 'name': 'snowman'}, {'id': 10385, 'name': 'reindeer'}, {'id': 10541, 'name': 'curse'}, {'id': 10794, 'name': 'snow'}, {'id': 11173, 'name': 'troll'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 159212, 'name': 'mountain climbing'}, {'id': 160350, 'name': 'evil prince'}, {'id': 179411, 'name': 'based on fairy tale'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 181128, 'name': 'frozen'}, {'id': 187056, 'name': 'woman director'}, {'id': 241738, 'name': 'sister sister relationship'}, {'id': 272909, 'name': 'magic land'}]",en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",21.2794,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-11-20,1274219009,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Only the act of true love will thaw a frozen heart.,Frozen,7.2,16783
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://www.worldwarzmovie.com,72190,"[{'id': 276, 'name': 'philadelphia, pennsylvania'}, {'id': 586, 'name': 'new jersey'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 4565, 'name': 'dystopia'}, {'id': 3575, 'name': 'jerusalem'}, {'id': 10150, 'name': 'end of the world'}, {'id': 12332, 'name': 'apocalypse'}, {'id': 12377, 'name': 'zombie'}, {'id': 15208, 'name': 'biting'}, {'id': 17995, 'name': 'epidemic'}, {'id': 160381, 'name': 'nuclear weapons'}, {'id': 180635, 'name': 'multiple perspectives'}, {'id': 186565, 'name': 'zombie apocalypse'}, {'id': 188957, 'name': 'virus'}, {'id': 202371, 'name': 'aggressive'}, {'id': 251667, 'name': 'anxious'}, {'id': 325818, 'name': 'frightened'}, {'id': 325824, 'name': 'hopeful'}]",en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",17.233,"[{'id': 3281, 'logo_path': '/pfmb82VUfN9VKB1YuBSY69WVNVm.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 9169, 'logo_path': '/fsjn4BwBzxlEBWmmWPOeBpubvOx.png', 'name': 'Hemisphere Media Capital', 'origin_country': 'US'}, {'id': 23644, 'logo_path': '/wF4SeLFv2qjKQa3oS1eaGyS4Hms.png', 'name': '2DUX²', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/gXfFl9pRPaoaq14jybEn1pHeldr.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-06-19,531865000,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There will come a day when the world we know will end.,World War Z,6.82,15633
46000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.alconent.com/film/prisoners,146233,"[{'id': 904, 'name': 'pennsylvania, usa'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 1562, 'name': 'hostage'}, {'id': 703, 'name': 'detective'}, {'id': 2158, 'name': 'maze'}, {'id': 1715, 'name': 'symbolism'}, {'id': 5340, 'name': 'investigation'}, {'id': 2495, 'name': 'georgia'}, {'id': 9849, 'name': 'beating'}, {'id': 9649, 'name': 'god'}, {'id': 9748, 'name': 'revenge'}, {'id': 7002, 'name': 'vigilante'}, {'id': 11004, 'name': 'rural area'}, {'id': 11727, 'name': 'crime scene'}, {'id': 14707, 'name': 'brutality'}, {'id': 166625, 'name': 'candlelight vigil'}, {'id': 202371, 'name': 'aggressive'}, {'id': 205685, 'name': 'animal cruelty'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 214501, 'name': 'sex offender'}, {'id': 265839, 'name': 'child abduction'}]",en,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",16.2197,"[{'id': 1088, 'logo_path': '/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png', 'name': 'Alcon Entertainment', 'origin_country': 'US'}, {'id': 18208, 'logo_path': None, 'name': '8:38 Productions', 'origin_country': 'US'}, {'id': 12199, 'logo_path': '/gYYIgHpgRsyhyUkeFev1GnwBqHb.png', 'name': 'Madhouse Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-09-19,122126687,153,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every moment matters.,Prisoners,8.099,12089
80000000,"[{'id': 35, 'name': 'Comedy'}]",http://www.sonypictures.com/movies/grownups2,109418,"[{'id': 6054, 'name': 'friendship'}, {'id': 1743, 'name': 'journey in the past'}, {'id': 6162, 'name': 'past'}, {'id': 9713, 'name': 'friends'}]",en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",15.1044,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-11,247022278,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Just because they're a little older doesn't mean they've grown up.,Grown Ups 2,6.136,4412
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/iron-man-3,68721,"[{'id': 387, 'name': 'california'}, {'id': 1242, 'name': 'war on terror'}, {'id': 9715, 'name': 'superhero'}, {'id': 8613, 'name': 'malibu'}, {'id': 9717, 'name': 'based on comic'}, {'id': 6335, 'name': 'tennessee'}, {'id': 12547, 'name': 'billionaire'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 207317, 'name': 'christmas'}, {'id': 260872, 'name': 'america'}, {'id': 314730, 'name': 'suspenseful'}]",en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",13.8362,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-04-18,1215577205,130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Unleash the power behind the armor.,Iron Man 3,6.929,22483
39200000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,110415,"[{'id': 613, 'name': ""new year's eve""}, {'id': 11196, 'name': 'rebellion'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1442, 'name': 'winter'}, {'id': 1411, 'name': 'brothel'}, {'id': 714, 'name': 'child labour'}, {'id': 3725, 'name': 'pregnancy'}, {'id': 4565, 'name': 'dystopia'}, {'id': 1501, 'name': 'allegory'}, {'id': 4458, 'name': 'post-apocalyptic future'}, {'id': 3450, 'name': 'bridge'}, {'id': 4655, 'name': 'hijacking of train'}, {'id': 9897, 'name': 'rifle'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9862, 'name': 'dam'}, {'id': 13008, 'name': 'train'}, {'id': 18712, 'name': 'based on graphic novel'}, {'id': 33720, 'name': 'guilt'}, {'id': 162845, 'name': 'revolt'}, {'id': 178993, 'name': 'duplicity'}, {'id': 189102, 'name': 'tunnel'}, {'id': 192311, 'name': 'social class'}, {'id': 208085, 'name': 'population control'}, {'id': 213921, 'name': 'perpetual winter'}, {'id': 213987, 'name': 'city ruin'}, {'id': 256328, 'name': '2030s'}, {'id': 311315, 'name': 'dramatic'}, {'id': 314730, 'name': 'suspenseful'}]",ko,Snowpiercer,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer; a train that travels around the globe via a perpetual-motion engine.",14.5767,"[{'id': 7270, 'logo_path': None, 'name': 'Opus Pictures', 'origin_country': 'KR'}, {'id': 34725, 'logo_path': '/cRqXC6Dy6AvTGS2wiMt26yGJgZA.png', 'name': 'Moho Film', 'origin_country': 'KR'}, {'id': 7036, 'logo_path': '/javbyY0ZCvlFJtly3tpZqf2NwLX.png', 'name': 'CJ Entertainment', 'origin_country': 'KR'}, {'id': 88607, 'logo_path': None, 'name': 'Union Investment Partners', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2013-08-01,86758912,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Fight your way to the front.,Snowpiercer,6.903,9752
250000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.thehobbit.com/,57158,"[{'id': 1321, 'name': 'gold'}, {'id': 1889, 'name': 'lake'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 606, 'name': 'orcs'}, {'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 1370, 'name': 'shapeshifting'}, {'id': 1262, 'name': 'mountain'}, {'id': 3888, 'name': 'giant spider'}, {'id': 9663, 'name': 'sequel'}, {'id': 10468, 'name': 'bear'}, {'id': 12554, 'name': 'dragon'}, {'id': 41538, 'name': 'turns into animal'}, {'id': 159817, 'name': 'barrel'}, {'id': 170362, 'name': 'fantasy world'}, {'id': 177912, 'name': 'wizard'}, {'id': 189092, 'name': 'journey'}, {'id': 189093, 'name': 'ring'}, {'id': 189115, 'name': 'invisibility'}, {'id': 201774, 'name': 'captured'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 211227, 'name': 'high fantasy'}, {'id': 234213, 'name': 'sword and sorcery'}, {'id': 249821, 'name': 'trekking'}, {'id': 269233, 'name': 'good versus evil'}, {'id': 292657, 'name': 'creatures'}, {'id': 327696, 'name': 'dwarves'}, {'id': 327697, 'name': 'epic quest'}, {'id': 332710, 'name': 'trolls'}, {'id': 332711, 'name': 'hobbit'}]",en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",13.5888,"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-12-11,958400000,161,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.57,13401
