budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.interstellarmovie.net/,157336,"[{'id': 10084, 'name': 'rescue'}, {'id': 2964, 'name': 'future'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 4776, 'name': 'race against time'}, {'id': 310, 'name': 'artificial intelligence (a.i.)'}, {'id': 1432, 'name': 'nasa'}, {'id': 1521, 'name': 'time warp'}, {'id': 4565, 'name': 'dystopia'}, {'id': 1963, 'name': 'expedition'}, {'id': 3801, 'name': 'space travel'}, {'id': 3417, 'name': 'wormhole'}, {'id': 4337, 'name': 'famine'}, {'id': 6567, 'name': 'hibernation'}, {'id': 4380, 'name': 'black hole'}, {'id': 8056, 'name': 'quantum mechanics'}, {'id': 10235, 'name': 'family relationships'}, {'id': 9882, 'name': 'space'}, {'id': 14544, 'name': 'robot'}, {'id': 14626, 'name': 'astronaut'}, {'id': 14760, 'name': 'scientist'}, {'id': 33479, 'name': 'single father'}, {'id': 154846, 'name': 'farmer'}, {'id': 156039, 'name': 'space station'}, {'id': 194998, 'name': 'curious'}, {'id': 195114, 'name': 'space adventure'}, {'id': 200234, 'name': 'shocking'}, {'id': 208757, 'name': 'time paradox'}, {'id': 233155, 'name': 'cryonics'}, {'id': 240303, 'name': 'father daughter relationship'}, {'id': 270088, 'name': '2060s'}, {'id': 272987, 'name': 'cornfield'}, {'id': 290900, 'name': 'time manipulation'}]",en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,44.7344,"[{'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}, {'id': 9996, 'logo_path': '/3tvBqYsBhxWeHlu62SIJ1el93O7.png', 'name': 'Syncopy', 'origin_country': 'GB'}, {'id': 13769, 'logo_path': None, 'name': 'Lynda Obst Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-11-05,746606706,169,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.453,36903
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",,1457271,"[{'id': 325782, 'name': 'cheerful'}, {'id': 325784, 'name': 'comforting'}, {'id': 349490, 'name': 'synergo'}, {'id': 349491, 'name': 'herobrine'}, {'id': 349492, 'name': 'il film di pete'}]",it,Minecraft: Il Film di Pete,,30.1816,"[{'id': 258086, 'logo_path': None, 'name': 'Quei Due Sul Server', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2014-11-23,0,0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Minecraft: Il Film di Pete,0.0,0
34000000,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",https://www.20thcenturystudios.com/movies/the-maze-runner,198663,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 10685, 'name': 'escape'}, {'id': 4565, 'name': 'dystopia'}, {'id': 2158, 'name': 'maze'}, {'id': 4458, 'name': 'post-apocalyptic future'}, {'id': 11469, 'name': 'memory loss'}, {'id': 15261, 'name': 'erased memory'}, {'id': 18029, 'name': 'trapped'}, {'id': 204967, 'name': 'runner'}, {'id': 246466, 'name': 'based on young adult novel'}]",en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",31.957,"[{'id': 290, 'logo_path': '/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png', 'name': 'Ingenious Media', 'origin_country': 'GB'}, {'id': 3672, 'logo_path': '/xpRwVe9NL5791oyUidzeRp8ezGj.png', 'name': 'The Gotham Group', 'origin_country': 'US'}, {'id': 8569, 'logo_path': None, 'name': 'Dayday Films', 'origin_country': 'GB'}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2014-09-10,348319861,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Remember. Survive. Run.,The Maze Runner,7.189,17274
165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",http://movies.disney.com/big-hero-6,177572,"[{'id': 6054, 'name': 'friendship'}, {'id': 779, 'name': 'martial arts'}, {'id': 1701, 'name': 'hero'}, {'id': 380, 'name': 'sibling relationship'}, {'id': 582, 'name': 'san francisco, california'}, {'id': 9715, 'name': 'superhero'}, {'id': 2276, 'name': 'talent'}, {'id': 6513, 'name': 'cartoon'}, {'id': 3289, 'name': 'villain'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9748, 'name': 'revenge'}, {'id': 12369, 'name': 'tokyo, japan'}, {'id': 12392, 'name': 'best friend'}, {'id': 12446, 'name': 'another dimension'}, {'id': 14544, 'name': 'robot'}, {'id': 14988, 'name': 'east asian lead'}, {'id': 33353, 'name': 'boy genius'}, {'id': 163074, 'name': 'super villain'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 183169, 'name': 'villain arrested'}, {'id': 194404, 'name': 'supervillain'}, {'id': 198423, 'name': 'moral dilemma'}, {'id': 213104, 'name': 'teen superhero'}, {'id': 215235, 'name': 'dead brother'}, {'id': 325824, 'name': 'hopeful'}]",en,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",24.6333,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-24,657870525,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Drop everything. Save the world.,Big Hero 6,7.728,15842
61000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",https://www.20thcenturystudios.com/movies/gone-girl,210577,"[{'id': 1326, 'name': 'infidelity'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 4183, 'name': 'wife'}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 5340, 'name': 'investigation'}, {'id': 10941, 'name': 'disappearance'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 12570, 'name': 'whodunit'}, {'id': 34136, 'name': 'blunt'}, {'id': 156091, 'name': 'missing person'}, {'id': 157701, 'name': 'psychotic'}, {'id': 169962, 'name': 'search party'}, {'id': 191199, 'name': 'criminal lawyer'}, {'id': 197582, 'name': 'mysterious'}, {'id': 201125, 'name': 'detached'}, {'id': 207431, 'name': 'murder suspect'}, {'id': 222665, 'name': 'missing wife'}, {'id': 225012, 'name': 'satirical'}, {'id': 225353, 'name': 'perspective'}, {'id': 237460, 'name': 'manipulative woman'}, {'id': 259376, 'name': 'playful'}, {'id': 273123, 'name': 'killed during sex'}, {'id': 276775, 'name': 'irreverent'}, {'id': 325766, 'name': 'antagonistic'}, {'id': 325773, 'name': 'audacious'}, {'id': 325857, 'name': 'wry'}]",en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",21.2066,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-01,370890259,149,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You don't know what you've got 'til it's...,Gone Girl,7.89,18943
16000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,243684,"[{'id': 6270, 'name': 'high school'}, {'id': 169654, 'name': 'overprotective parent'}, {'id': 233689, 'name': 'self image'}]",en,"Men, Women & Children","Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",20.2498,"[{'id': 32157, 'logo_path': '/4hOCk25Ce8s242NItnwtV7aKRWY.png', 'name': 'Right of Way Films', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-17,1700000,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Discover how little you know about the people you know.,"Men, Women & Children",6.471,882
55000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",https://www.sonypictures.com/movies/theequalizer,156022,"[{'id': 782, 'name': 'assassin'}, {'id': 417, 'name': 'corruption'}, {'id': 2708, 'name': 'hitman'}, {'id': 550, 'name': 'call girl'}, {'id': 4426, 'name': 'sadism'}, {'id': 1562, 'name': 'hostage'}, {'id': 3149, 'name': 'gangster'}, {'id': 1812, 'name': 'fbi'}, {'id': 10292, 'name': 'gore'}, {'id': 9714, 'name': 'remake'}, {'id': 9740, 'name': 'sociopath'}, {'id': 9748, 'name': 'revenge'}, {'id': 7002, 'name': 'vigilante'}, {'id': 10291, 'name': 'organized crime'}, {'id': 15048, 'name': 'teenage prostitute'}, {'id': 15248, 'name': 'commando'}, {'id': 15271, 'name': 'interrogation'}, {'id': 18420, 'name': 'surveillance'}, {'id': 155750, 'name': 'fake death'}, {'id': 162380, 'name': 'ex soldier'}, {'id': 167104, 'name': 'loner'}, {'id': 175056, 'name': 'black ops'}, {'id': 188955, 'name': 'hand to hand combat'}, {'id': 209525, 'name': 'mysterious past'}, {'id': 266013, 'name': 'vigilante justice'}]",en,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",19.3914,"[{'id': 41096, 'logo_path': None, 'name': 'Lonetree Entertainment', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 1423, 'logo_path': '/gzvsPHV9WqcQMrvI8pq5hbuvEZ5.png', 'name': 'Escape Artists', 'origin_country': 'US'}, {'id': 34034, 'logo_path': None, 'name': 'LStar Capital', 'origin_country': 'US'}, {'id': 2767, 'logo_path': None, 'name': 'Mace Neufeld Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-09-24,192330738,132,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,What do you see when you look at me?,The Equalizer,7.3,9269
68000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,228150,"[{'id': 1701, 'name': 'hero'}, {'id': 2652, 'name': 'nazi'}, {'id': 502, 'name': 'ambush'}, {'id': 3930, 'name': 'bravery'}, {'id': 1956, 'name': 'world war ii'}, {'id': 11115, 'name': 'heroism'}, {'id': 11117, 'name': 'tank'}, {'id': 1295, 'name': 'europe'}, {'id': 13129, 'name': 'execution'}, {'id': 14643, 'name': 'battle'}, {'id': 14707, 'name': 'brutality'}, {'id': 158449, 'name': 'hatred'}, {'id': 193042, 'name': 'tank battle'}, {'id': 207883, 'name': '1940s'}, {'id': 232571, 'name': 'enclosed space'}, {'id': 240548, 'name': 'beating the odds'}, {'id': 295160, 'name': 'european theatre'}, {'id': 327272, 'name': 'tanks'}]",en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",19.5564,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 11029, 'logo_path': '/aEqqnFZjCW10ODE4TYQ1qkjvokr.png', 'name': 'QED International', 'origin_country': 'US'}, {'id': 34034, 'logo_path': None, 'name': 'LStar Capital', 'origin_country': 'US'}, {'id': 47169, 'logo_path': None, 'name': 'Le Grisbi Productions', 'origin_country': 'US'}, {'id': 16312, 'logo_path': None, 'name': 'Crave Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-15,211817906,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,War never ends quietly.,Fury,7.54,12192
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://www.warnerbros.com/movies/hobbit-battle-five-armies/,122917,"[{'id': 1321, 'name': 'gold'}, {'id': 417, 'name': 'corruption'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 606, 'name': 'orcs'}, {'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 1960, 'name': 'mine'}, {'id': 1262, 'name': 'mountain'}, {'id': 9663, 'name': 'sequel'}, {'id': 12554, 'name': 'dragon'}, {'id': 14643, 'name': 'battle'}, {'id': 167982, 'name': 'unlikely friendship'}, {'id': 170362, 'name': 'fantasy world'}, {'id': 177912, 'name': 'wizard'}, {'id': 188270, 'name': 'epic battle'}, {'id': 189093, 'name': 'ring'}, {'id': 189115, 'name': 'invisibility'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 211227, 'name': 'high fantasy'}, {'id': 234213, 'name': 'sword and sorcery'}, {'id': 269233, 'name': 'good versus evil'}, {'id': 292657, 'name': 'creatures'}, {'id': 327696, 'name': 'dwarves'}, {'id': 332709, 'name': 'hobbits'}, {'id': 332710, 'name': 'trolls'}, {'id': 332711, 'name': 'hobbit'}, {'id': 332712, 'name': 'armies'}]",en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",18.8417,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 5237, 'logo_path': '/mlnr7vsBHvLye8oEb5A76C0t8x9.png', 'name': 'The Saul Zaentz Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-12-10,956019788,144,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.324,14536
3300000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",https://www.sonyclassics.com//film//whiplash#,244786,"[{'id': 242, 'name': 'new york city'}, {'id': 6029, 'name': 'concert'}, {'id': 1416, 'name': 'jazz'}, {'id': 4048, 'name': 'musician'}, {'id': 1523, 'name': 'obsession'}, {'id': 2176, 'name': 'music teacher'}, {'id': 1640, 'name': 'conservatory'}, {'id': 2696, 'name': 'drums'}, {'id': 33896, 'name': 'montage'}, {'id': 34136, 'name': 'blunt'}, {'id': 164657, 'name': 'perfectionist'}, {'id': 168196, 'name': 'perfection'}, {'id': 170418, 'name': 'public humiliation'}, {'id': 176095, 'name': 'jazz band'}, {'id': 206298, 'name': 'young adult'}, {'id': 207739, 'name': 'music school'}, {'id': 268132, 'name': 'based on short'}, {'id': 316832, 'name': 'tense'}, {'id': 336502, 'name': 'drummer'}]",en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",23.1796,"[{'id': 2266, 'logo_path': '/owzVs2mguyyJ3vIn7EbgowpUPnk.png', 'name': 'Bold Films', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/rzKluDcRkIwHZK2pHsiT667A2Kw.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 32157, 'logo_path': '/4hOCk25Ce8s242NItnwtV7aKRWY.png', 'name': 'Right of Way Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-10,50307484,107,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The road to greatness can take you to the edge.,Whiplash,8.374,15531
