budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{'id': 99, 'name': 'Documentary'}]",,321883,"[{'id': 282, 'name': 'video game'}]",en,Minecraft: Into the Nether,"Minecraft. The game that took the world by storm. Follow the story of how the Minecraft phenomenon has ploughed through the 21st century selling over 54 million copies worldwide on a multitude of platforms engaging an audience in the millions which is still continuing to grow. The game boasts the biggest digital world in gaming history with a fan base stretching to every corner of the globe. Youtube viewing numbers have grown and online participation has tripled over the last few years creating a new industry for enthusiastic gamers. Vast communities have been brought together through it's educational impact, YouTube celebrities, festivals and game events pushing the boundaries of technology and creativity to the limits.",45.5152,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-01-27,0,77,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Minecraft: Into the Nether,7.9,7
175000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://movies.disney.com/inside-out,150540,"[{'id': 1566, 'name': 'dreams'}, {'id': 582, 'name': 'san francisco, california'}, {'id': 1360, 'name': 'minnesota'}, {'id': 1647, 'name': 'sadness'}, {'id': 6513, 'name': 'cartoon'}, {'id': 3444, 'name': 'disgust'}, {'id': 6483, 'name': 'ice hockey'}, {'id': 7942, 'name': 'imaginary friend'}, {'id': 8102, 'name': 'elementary school'}, {'id': 10235, 'name': 'family relationships'}, {'id': 10937, 'name': 'memory'}, {'id': 13073, 'name': 'fear'}, {'id': 18035, 'name': 'family'}, {'id': 18047, 'name': 'anger'}, {'id': 163227, 'name': 'unicorn'}, {'id': 171831, 'name': 'running away'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 211269, 'name': 'emotions'}, {'id': 212737, 'name': 'philosophical'}, {'id': 277029, 'name': 'joy'}]",en,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",29.6983,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-17,857611174,95,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Meet the little voices inside your head.,Inside Out,7.91,22405
40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",https://www.facebook.com/fiftyshadesofgreymovie,216015,"[{'id': 1866, 'name': 'bad smell'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1664, 'name': 'eroticism'}, {'id': 9785, 'name': 'perversion'}, {'id': 9888, 'name': 'spanking'}, {'id': 12547, 'name': 'billionaire'}, {'id': 34143, 'name': 'rich'}, {'id': 158713, 'name': 'bdsm'}, {'id': 187056, 'name': 'woman director'}, {'id': 325776, 'name': 'baffled'}]",en,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",21.369,"[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 11370, 'logo_path': None, 'name': 'Michael De Luca Productions', 'origin_country': 'US'}, {'id': 7626, 'logo_path': '/4839MGss4pPAalhqqYH1AD1CnEj.png', 'name': 'Trigger Street Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-02-11,569651467,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Are you curious?,Fifty Shades of Grey,5.884,11941
150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",https://www.jurassicworld.com/,135397,"[{'id': 2041, 'name': 'island'}, {'id': 5251, 'name': 'primal fear'}, {'id': 10685, 'name': 'escape'}, {'id': 1766, 'name': 'velociraptor'}, {'id': 1718, 'name': 'dna'}, {'id': 1720, 'name': 'tyrannosaurus rex'}, {'id': 5160, 'name': 'animal attack'}, {'id': 9663, 'name': 'sequel'}, {'id': 12616, 'name': 'dinosaur'}, {'id': 13031, 'name': 'creature'}, {'id': 14798, 'name': 'park'}, {'id': 155582, 'name': 'amusement park'}, {'id': 158340, 'name': 'theme park'}, {'id': 163561, 'name': 'genetic engineering'}, {'id': 197013, 'name': 'raptor'}, {'id': 223059, 'name': 'animal horror'}, {'id': 319467, 'name': 'mosasaurus'}]",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",19.2426,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-06,1671537444,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The park is open.,Jurassic World,6.693,20628
150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.warnerbros.com/movies/mad-max-fury-road,76341,"[{'id': 10084, 'name': 'rescue'}, {'id': 2964, 'name': 'future'}, {'id': 5657, 'name': 'australia'}, {'id': 3713, 'name': 'chase'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4458, 'name': 'post-apocalyptic future'}, {'id': 10349, 'name': 'survival'}, {'id': 10562, 'name': 'on the run'}, {'id': 15291, 'name': 'on the road'}, {'id': 18034, 'name': 'desert'}, {'id': 155499, 'name': 'convoy'}, {'id': 190954, 'name': 'peak oil'}, {'id': 212516, 'name': 'dark future'}, {'id': 310324, 'name': 'car'}, {'id': 314730, 'name': 'suspenseful'}, {'id': 321464, 'name': 'intense'}, {'id': 325775, 'name': 'awestruck'}, {'id': 325785, 'name': 'commanding'}, {'id': 325824, 'name': 'hopeful'}]",en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",19.7331,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 28382, 'logo_path': '/eaQ9IuuaSNBeSdocdtGLvhXAHfg.png', 'name': 'Kennedy Miller Mitchell', 'origin_country': 'AU'}, {'id': 41624, 'logo_path': '/wzKxIeQKlMP0y5CaAw25MD6EQmf.png', 'name': 'RatPac Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-05-13,378858340,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The future belongs to the mad.,Mad Max: Fury Road,7.621,22993
365000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/avengers-age-of-ultron,99861,"[{'id': 310, 'name': 'artificial intelligence (a.i.)'}, {'id': 83, 'name': 'saving the world'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9663, 'name': 'sequel'}, {'id': 10629, 'name': 'vision'}, {'id': 155030, 'name': 'superhero team'}, {'id': 162749, 'name': 'creator'}, {'id': 163074, 'name': 'super villain'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 191027, 'name': 'fictitious country'}, {'id': 239797, 'name': 'complex'}, {'id': 251142, 'name': 'evil robot'}, {'id': 269233, 'name': 'good versus evil'}]",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",17.9154,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-04-22,1405403694,141,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A new age has come.,Avengers: Age of Ultron,7.271,23350
95000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",http://movies.disney.com/cinderella,150689,"[{'id': 2343, 'name': 'magic'}, {'id': 4152, 'name': 'kingdom'}, {'id': 3205, 'name': 'fairy tale'}, {'id': 3071, 'name': 'prince'}, {'id': 9920, 'name': 'royalty'}, {'id': 13014, 'name': 'orphan'}, {'id': 158438, 'name': 'lost shoe'}, {'id': 173003, 'name': 'evil stepmother'}, {'id': 179411, 'name': 'based on fairy tale'}, {'id': 186847, 'name': 'retelling'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 245230, 'name': 'live action remake'}]",en,Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",15.1777,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 28788, 'logo_path': '/Aqomtf9oh5dKtxBNEagkdlp3aGv.png', 'name': 'Genre Films', 'origin_country': 'US'}, {'id': 46339, 'logo_path': None, 'name': 'Beagle Pug Films', 'origin_country': 'GB'}, {'id': 47706, 'logo_path': None, 'name': 'Allison Shearmur Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-03-06,543514353,105,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Midnight is just the beginning.,Cinderella,6.824,7140
190000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.uphe.com/movies/furious-7,168259,"[{'id': 830, 'name': 'car race'}, {'id': 3428, 'name': 'speed'}, {'id': 9666, 'name': 'street race'}, {'id': 9748, 'name': 'revenge'}, {'id': 40870, 'name': 'race'}, {'id': 205399, 'name': 'muscle car'}, {'id': 325761, 'name': 'admiring'}]",en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,14.7346,"[{'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 1225, 'logo_path': '/rIxhJMR7oK8b2fMakmTfRLY2TZv.png', 'name': 'One Race', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-04-01,1515400000,137,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Thai', 'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,Vengeance hits home.,Furious 7,7.2,10763
35000000,"[{'id': 35, 'name': 'Comedy'}]",http://www.theinternmovie.com/,257211,"[{'id': 242, 'name': 'new york city'}, {'id': 6054, 'name': 'friendship'}, {'id': 582, 'name': 'san francisco, california'}, {'id': 1438, 'name': 'office'}, {'id': 4501, 'name': 'masseuse'}, {'id': 6614, 'name': 'website'}, {'id': 11051, 'name': 'tai chi'}, {'id': 11615, 'name': 'internet'}, {'id': 11860, 'name': 'fish out of water'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 49960, 'name': 'business start-up'}, {'id': 155963, 'name': 'driver'}, {'id': 163484, 'name': 'senior citizen'}, {'id': 167529, 'name': 'ceo'}, {'id': 170652, 'name': 'father figure'}, {'id': 174420, 'name': 'intern'}, {'id': 176834, 'name': 'social media'}, {'id': 182376, 'name': 'gentleman'}, {'id': 187056, 'name': 'woman director'}, {'id': 206671, 'name': 'city life'}, {'id': 215184, 'name': 'chivalry'}, {'id': 229347, 'name': 'retired life'}, {'id': 241532, 'name': 'professional woman'}, {'id': 308609, 'name': 'internship'}, {'id': 316518, 'name': 'e-comm'}, {'id': 324299, 'name': 'retailer'}, {'id': 326272, 'name': 'elderly widower'}, {'id': 327441, 'name': 'online store'}]",en,The Intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",14.2997,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 41624, 'logo_path': '/wzKxIeQKlMP0y5CaAw25MD6EQmf.png', 'name': 'RatPac Entertainment', 'origin_country': 'US'}, {'id': 735, 'logo_path': None, 'name': 'Waverly Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-09-23,194564672,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Experience never gets old.,The Intern,7.22,6816
49000000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.chappie-movie.com,198184,"[{'id': 2964, 'name': 'future'}, {'id': 803, 'name': 'android'}, {'id': 310, 'name': 'artificial intelligence (a.i.)'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4339, 'name': 'johannesburg, south africa'}, {'id': 14544, 'name': 'robot'}, {'id': 187019, 'name': 'robot cop'}]",en,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",15.9858,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 2531, 'logo_path': '/9MfCJ2G6Nrf9yyRj4tAgPmMiDcn.png', 'name': 'MRC', 'origin_country': 'US'}, {'id': 34034, 'logo_path': None, 'name': 'LStar Capital', 'origin_country': 'US'}, {'id': 28788, 'logo_path': '/Aqomtf9oh5dKtxBNEagkdlp3aGv.png', 'name': 'Genre Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-03-04,104399548,120,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,I am consciousness. I am alive. I am Chappie.,Chappie,6.788,8035
