budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
230758,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,82023,"[{'id': 612, 'name': 'hotel'}, {'id': 738, 'name': 'sexuality'}, {'id': 5091, 'name': 'kiss'}, {'id': 13097, 'name': 'maid'}, {'id': 14768, 'name': 'single mother'}, {'id': 207556, 'name': 'blind man'}, {'id': 212708, 'name': 'caress'}, {'id': 263548, 'name': 'short film'}]",de,Hotel Desire,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",23.6954,"[{'id': 15565, 'logo_path': None, 'name': 'Von Fiessbach Film', 'origin_country': 'DE'}, {'id': 425, 'logo_path': None, 'name': 'teamWorx', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2011-12-07,0,38,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Hotel Desire,6.0,118
25000000,"[{'id': 18, 'name': 'Drama'}]",,50014,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 787, 'name': 'mississippi river'}, {'id': 2804, 'name': 'exploitation'}, {'id': 6984, 'name': 'racial segregation'}, {'id': 12425, 'name': 'racism'}, {'id': 13028, 'name': 'writer'}, {'id': 13097, 'name': 'maid'}, {'id': 13098, 'name': 'moral courage'}, {'id': 13099, 'name': 'ressentiment'}, {'id': 176219, 'name': 'southern belle'}, {'id': 204173, 'name': 'racial issues'}, {'id': 208992, 'name': '1960s'}, {'id': 209334, 'name': 'newspaper columnist'}, {'id': 232076, 'name': 'desperate'}, {'id': 266753, 'name': 'cautionary'}, {'id': 325774, 'name': 'authoritarian'}]",en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",22.6384,"[{'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 95966, 'logo_path': None, 'name': 'Harbinger Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-08-09,216600000,146,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Change begins with a whisper.,The Help,8.206,8495
125000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",https://www.warnerbros.com/movies/harry-potter-and-deathly-hallows-part-2/,12445,"[{'id': 616, 'name': 'witch'}, {'id': 3737, 'name': 'dying and death'}, {'id': 83, 'name': 'saving the world'}, {'id': 1430, 'name': 'self sacrifice'}, {'id': 2343, 'name': 'magic'}, {'id': 3884, 'name': 'school of witchcraft'}, {'id': 10821, 'name': 'sorcerer'}, {'id': 10873, 'name': 'school'}, {'id': 14643, 'name': 'battle'}, {'id': 162846, 'name': 'ghost'}, {'id': 177912, 'name': 'wizard'}, {'id': 188178, 'name': 'teenage hero'}, {'id': 197582, 'name': 'mysterious'}, {'id': 207317, 'name': 'christmas'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 269233, 'name': 'good versus evil'}]",en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",18.303,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-07-12,1341511219,130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It all ends.,Harry Potter and the Deathly Hallows: Part 2,8.087,20941
379000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",https://movies.disney.com/pirates-of-the-caribbean-on-stranger-tides,1865,"[{'id': 658, 'name': 'sea'}, {'id': 3799, 'name': 'ship'}, {'id': 1860, 'name': 'mutiny'}, {'id': 1316, 'name': 'captain'}, {'id': 514, 'name': 'spain'}, {'id': 392, 'name': 'england'}, {'id': 1938, 'name': 'sword'}, {'id': 2569, 'name': 'prime minister'}, {'id': 3180, 'name': 'sailing'}, {'id': 5938, 'name': 'mermaid'}, {'id': 4235, 'name': 'duke'}, {'id': 3625, 'name': 'silver'}, {'id': 12988, 'name': 'pirate'}, {'id': 13065, 'name': 'soldier'}, {'id': 14643, 'name': 'battle'}, {'id': 157186, 'name': 'swashbuckler'}, {'id': 160279, 'name': '18th century'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 249261, 'name': 'blackbeard'}, {'id': 270337, 'name': '1750s'}]",en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love — or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",15.6384,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 130, 'logo_path': '/c9dVHPOL3cqCr2593Ahk0nEKTEM.png', 'name': 'Jerry Bruckheimer Films', 'origin_country': 'US'}, {'id': 20478, 'logo_path': '/gSS2OBc6dRsK2ewRx5lcwnARrpl.png', 'name': 'Moving Picture Company', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-05-15,1046721266,136,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Live forever or die trying.,Pirates of the Caribbean: On Stranger Tides,6.557,14244
110000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,39254,"[{'id': 2964, 'name': 'future'}, {'id': 6075, 'name': 'sports'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1721, 'name': 'fight'}, {'id': 14544, 'name': 'robot'}, {'id': 166802, 'name': 'prizefight'}, {'id': 180574, 'name': 'father son reunion'}, {'id': 202314, 'name': 'robot fighting'}, {'id': 329574, 'name': '2020s'}]",en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",14.8146,"[{'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}, {'id': 7294, 'logo_path': '/kK4PRgceWp9KNrycD8xx8seWxYU.png', 'name': 'Reliance Entertainment', 'origin_country': 'IN'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}, {'id': 90892, 'logo_path': None, 'name': 'Montford / Murphy Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'IN', 'name': 'India'}]",2011-09-28,299300000,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Courage is stronger than steel.,Real Steel,7.0,8532
40000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",http://finaldestinationmovie.warnerbros.com/index.html,55779,"[{'id': 10170, 'name': 'premonition'}, {'id': 14540, 'name': 'accidental death'}, {'id': 14541, 'name': 'crash'}, {'id': 14542, 'name': 'end is here'}, {'id': 34079, 'name': 'death'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 240606, 'name': 'cheating death'}, {'id': 249712, 'name': 'suspension bridge'}, {'id': 256183, 'name': 'supernatural horror'}, {'id': 314698, 'name': '3d'}, {'id': 315058, 'name': 'horror'}, {'id': 326438, 'name': 'twist ending'}, {'id': 342995, 'name': 'teen scream'}]",en,Final Destination 5,"Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda.",13.964,"[{'id': 48792, 'logo_path': None, 'name': 'Parallel Zide', 'origin_country': 'US'}, {'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 48788, 'logo_path': None, 'name': 'Practical Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-08-12,157887643,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,Death has never been closer.,Final Destination 5,6.1,3507
13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,77338,"[{'id': 6054, 'name': 'friendship'}, {'id': 3230, 'name': 'male friendship'}, {'id': 9672, 'name': 'based on true story'}, {'id': 4501, 'name': 'masseuse'}, {'id': 155697, 'name': 'aristocrat'}, {'id': 156941, 'name': 'paragliding'}, {'id': 165583, 'name': 'interracial friendship'}, {'id': 167982, 'name': 'unlikely friendship'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 184343, 'name': 'quadriplegic'}, {'id': 223004, 'name': 'quadriplegia'}, {'id': 304995, 'name': 'feel good'}, {'id': 328593, 'name': 'intouchables'}]",fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,13.8887,"[{'id': 9, 'logo_path': '/nda3dTUYdDrJ6rZqBpYvY865aDv.png', 'name': 'Gaumont', 'origin_country': 'FR'}, {'id': 7038, 'logo_path': '/9YDo78sKAy6xxqBwVBT2Vi9FSZl.png', 'name': 'Quad Productions', 'origin_country': 'FR'}, {'id': 7766, 'logo_path': '/rwBbDJAlUC0mAVnO02APsy0O80T.png', 'name': 'Chaocorp', 'origin_country': 'FR'}, {'id': 8018, 'logo_path': None, 'name': 'Ten Films', 'origin_country': 'FR'}, {'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2011-11-02,426590315,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,The Intouchables,8.273,17530
110000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",http://www.breakingdawn-themovie.com/,50619,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 3133, 'name': 'vampire'}, {'id': 9410, 'name': 'hybrid'}, {'id': 11870, 'name': 'teen movie'}, {'id': 12564, 'name': 'werewolf'}, {'id': 68646, 'name': 'supernatural creature'}, {'id': 160153, 'name': 'dead'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 246466, 'name': 'based on young adult novel'}]",en,The Twilight Saga: Breaking Dawn - Part 1,Bella Swan and Edward Cullen's honeymoon phase is abruptly disrupted by betrayals and unforeseen tragedies that endanger their world.,12.6418,"[{'id': 491, 'logo_path': '/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 5219, 'logo_path': None, 'name': 'Sunswept Entertainment', 'origin_country': 'US'}, {'id': 7490, 'logo_path': None, 'name': 'TSBD Canada Productions', 'origin_country': ''}, {'id': 58321, 'logo_path': None, 'name': 'TSBD Louisiana', 'origin_country': ''}, {'id': 58322, 'logo_path': None, 'name': 'TSBD Productions', 'origin_country': ''}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 6446, 'logo_path': '/bzINKKiM2w4mUU2TAEU7FqnP7xa.png', 'name': 'Total Entertainment', 'origin_country': 'BR'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-11-16,712171856,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,Forever is just the beginning.,The Twilight Saga: Breaking Dawn - Part 1,6.196,8882
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",https://www.marvel.com/movies/thor,10195,"[{'id': 1508, 'name': 'new mexico'}, {'id': 9715, 'name': 'superhero'}, {'id': 11436, 'name': 'redemption'}, {'id': 5149, 'name': 'banishment'}, {'id': 9717, 'name': 'based on comic'}, {'id': 12653, 'name': 'brother against brother'}, {'id': 179101, 'name': 'norse mythology'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 220372, 'name': 'worlds collide'}, {'id': 240145, 'name': 'god of thunder'}, {'id': 293198, 'name': 'fantasy'}, {'id': 316241, 'name': 'egotistical'}]",en,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",12.5372,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-04-21,449326618,115,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Courage is immortal.,Thor,6.769,21434
1344000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,86331,"[{'id': 254, 'name': 'france'}, {'id': 738, 'name': 'sexuality'}, {'id': 9835, 'name': 'sexual fantasy'}, {'id': 11510, 'name': 'unfaithfulness'}, {'id': 10505, 'name': 'promiscuity'}, {'id': 13059, 'name': 'prostitution'}, {'id': 14794, 'name': 'lust'}, {'id': 33494, 'name': 'couple'}, {'id': 33513, 'name': 'desire'}, {'id': 169815, 'name': 'exhibitionism'}, {'id': 190370, 'name': 'erotic movie'}]",fr,Q,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cécile, a character who symbolizes desire.",11.1279,"[{'id': 18519, 'logo_path': None, 'name': 'Acajou Films', 'origin_country': 'FR'}, {'id': 18520, 'logo_path': None, 'name': 'Rebel Rebel', 'origin_country': ''}, {'id': 18521, 'logo_path': None, 'name': 'Birka Holding', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2011-10-06,0,103,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,"Love, desire and complications...",Desire,6.286,1304
